,doc1_1,word1,doc1_2,word2,bidirectional_hash
221,43,1275,43,2098,44016286304164843
7710,1464,1275,1464,2098,44016286304164843
4052,772,2078,772,1625,50077038252499993
6675,1269,2078,1269,1625,50077038252499993
4051,772,1629,772,2078,50217184514893517
6674,1269,1629,1269,2078,50217184514893517
40,7,502,7,2199,51451178451651031
8115,1542,502,1542,2199,51451178451651031
8585,1630,502,1630,2199,51451178451651031
5901,1126,502,1126,2199,51451178451651031
4090,779,502,779,2199,51451178451651031
516,98,2228,98,1291,58486626367713819
5298,1013,2228,1013,1291,58486626367713819
207,40,2248,40,1149,59411832571960717
1377,264,2248,264,1149,59411832571960717
910,172,1347,172,2239,60703596443646706
10208,1938,1347,1938,2239,60703596443646706
5971,1137,713,1137,2394,78820143249579017
2074,397,713,397,2394,78820143249579017
6832,1301,2404,1301,1389,85462253784198973
3448,659,2404,659,1389,85462253784198973
5238,1002,2424,1002,1309,87531224924480173
6968,1324,2424,1324,1309,87531224924480173
6992,1329,2454,1329,282,88998255649011456
3536,674,2454,674,282,88998255649011456
1273,245,2454,245,282,88998255649011456
2859,548,20,548,2457,89541792153704057
7728,1467,20,1467,2457,89541792153704057
59,11,2462,11,736,90672564318487008
4683,893,2462,893,736,90672564318487008
7168,1363,2470,1363,110,91935838705800000
3764,713,2470,713,110,91935838705800000
65,12,2500,12,479,97681466079618399
6588,1251,2500,1251,479,97681466079618399
4454,847,1094,847,2500,99223313553520224
10447,1981,1094,1981,2500,99223313553520224
6176,1174,2462,1174,1565,99844566837442957
701,132,2462,132,1565,99844566837442957
4297,817,2462,817,1565,99844566837442957
1326,254,1483,254,2509,106599845727059192
4425,842,2509,842,1483,106599845727059192
